pr_url,merge,manual_check
https://github.com/moby/moby/pull/40559,1,1
https://github.com/moby/moby/pull/39393,1,0
https://github.com/moby/moby/pull/27475,1,1
https://github.com/moby/moby/pull/39413,1,1
https://github.com/moby/moby/pull/8418,1,0
https://github.com/moby/moby/pull/25754,1,1
https://github.com/moby/moby/pull/32161,1,0
https://github.com/moby/moby/pull/17687,1,1
https://github.com/moby/moby/pull/18273,1,1
https://github.com/moby/moby/pull/25884,1,0
https://github.com/moby/moby/pull/32777,1,1
https://github.com/moby/moby/pull/20472,1,0
https://github.com/moby/moby/pull/14103,1,0
https://github.com/nodejs/node/pull/1523,1,1
https://github.com/nodejs/node/pull/15790,1,1
https://github.com/nodejs/node/pull/24318,1,0
https://github.com/nodejs/node/pull/32565,1,0
https://github.com/nodejs/node/pull/33057,1,1
https://github.com/nodejs/node/pull/38469,1,1
https://github.com/nodejs/node/pull/12696,1,1
https://github.com/nodejs/node/pull/33097,1,1
https://github.com/nodejs/node/pull/10887,1,1
https://github.com/nodejs/node/pull/11073,1,1
https://github.com/nodejs/node/pull/16479,1,1
https://github.com/nodejs/node/pull/15689,1,1
https://github.com/nodejs/node/pull/9775,1,1
https://github.com/nodejs/node/pull/26934,1,1
https://github.com/nodejs/node/pull/36074,1,0
https://github.com/nodejs/node/pull/5372,1,1
https://github.com/nodejs/node/pull/9260,1,1
https://github.com/nodejs/node/pull/14538,1,0
https://github.com/nodejs/node/pull/27135,1,0
https://github.com/nodejs/node/pull/13880,1,1
https://github.com/apple/swift/pull/1502,1,1
https://github.com/apple/swift/pull/907,1,0
https://github.com/apple/swift/pull/35047,1,0
https://github.com/apple/swift/pull/3,1,1
https://github.com/apple/swift/pull/1097,1,1
https://github.com/apple/swift/pull/23856,1,1
https://github.com/apple/swift/pull/26655,1,1
https://github.com/apple/swift/pull/1604,1,1
https://github.com/apple/swift/pull/17425,1,0
https://github.com/apple/swift/pull/5132,1,1
https://github.com/apple/swift/pull/27933,1,1
https://github.com/apple/swift/pull/12781,1,1
https://github.com/apple/swift/pull/1245,1,1
https://github.com/apple/swift/pull/37563,1,1
https://github.com/apple/swift/pull/20541,1,1
https://github.com/apple/swift/pull/27705,1,1
https://github.com/apple/swift/pull/9533,1,1
https://github.com/apple/swift/pull/1053,1,1
https://github.com/apple/swift/pull/8974,1,0
https://github.com/apple/swift/pull/1051,1,1
https://github.com/kubernetes/kubernetes/pull/89852,1,
https://github.com/kubernetes/kubernetes/pull/87618,1,
https://github.com/kubernetes/kubernetes/pull/66716,1,
https://github.com/kubernetes/kubernetes/pull/82020,1,
https://github.com/kubernetes/kubernetes/pull/84077,1,
https://github.com/kubernetes/kubernetes/pull/92399,1,
https://github.com/kubernetes/kubernetes/pull/50929,1,
https://github.com/kubernetes/kubernetes/pull/79537,1,
https://github.com/kubernetes/kubernetes/pull/30945,1,
https://github.com/kubernetes/kubernetes/pull/74466,1,
https://github.com/kubernetes/kubernetes/pull/51026,1,
https://github.com/kubernetes/kubernetes/pull/58757,1,
https://github.com/kubernetes/kubernetes/pull/43994,1,
https://github.com/kubernetes/kubernetes/pull/81600,1,
https://github.com/kubernetes/kubernetes/pull/48474,1,
https://github.com/kubernetes/kubernetes/pull/73720,1,
https://github.com/kubernetes/kubernetes/pull/38285,1,
https://github.com/kubernetes/kubernetes/pull/28592,1,
https://github.com/kubernetes/kubernetes/pull/20029,1,
https://github.com/kubernetes/kubernetes/pull/87619,1,
https://github.com/flutter/flutter/pull/69355,1,
https://github.com/flutter/flutter/pull/6197,1,
https://github.com/flutter/flutter/pull/54963,1,
https://github.com/flutter/flutter/pull/16620,1,
https://github.com/flutter/flutter/pull/13155,1,
https://github.com/flutter/flutter/pull/25031,1,
https://github.com/flutter/flutter/pull/21708,1,
https://github.com/flutter/flutter/pull/1779,1,
https://github.com/flutter/flutter/pull/89783,1,
https://github.com/flutter/flutter/pull/54886,1,
https://github.com/flutter/flutter/pull/13116,1,
https://github.com/flutter/flutter/pull/61657,1,
https://github.com/flutter/flutter/pull/37947,1,
https://github.com/flutter/flutter/pull/15209,1,
https://github.com/flutter/flutter/pull/69285,1,
https://github.com/flutter/flutter/pull/60038,1,
https://github.com/flutter/flutter/pull/23080,1,
https://github.com/flutter/flutter/pull/26352,1,
